epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.447585,1.836146,0.601049,0.687713,1.447906,1.452166,4.466366,0.525104,0.500000,0.517271,0.500000,0.051533,0.051204,0.499827,0.539993,0.526662,-0.040166,0.500000,val_gen_auc_avg,0.525104,9.999726e-05
20,0.916593,0.541264,0.382286,0.613422,0.912046,0.929132,3.823556,0.563366,0.500000,0.520380,0.500000,0.062603,0.060467,0.372057,0.498096,0.430055,-0.126039,0.500000,val_gen_auc_avg,0.563366,9.890738e-05
40,0.785416,0.573103,0.333951,0.578256,0.852019,0.834364,2.791840,0.579986,0.500000,0.518119,0.500000,0.069665,0.059377,0.472645,0.540859,0.430055,-0.068213,0.493421,val_gen_auc_avg,0.579986,9.567727e-05
60,0.696533,0.461891,0.323317,0.474855,0.829477,0.801412,2.307771,0.518352,0.500000,0.601843,0.500000,0.137903,0.096605,0.453255,0.537050,0.483206,-0.083795,0.473684,val_gen_auc_avg,0.518352,9.045085e-05
80,0.719339,0.268403,0.308215,0.266547,0.726700,0.707785,2.088478,0.618767,0.539474,0.787325,0.518797,0.187903,0.120780,0.522680,0.459141,0.519564,0.003116,0.519737,val_gen_auc_avg,0.618767,8.345653e-05
100,0.717066,0.151607,0.288976,0.154420,0.833507,0.786790,1.958121,0.673303,0.664474,0.804002,0.571429,0.219573,0.144101,0.476627,0.481648,0.565097,-0.088470,0.486842,val_gen_auc_avg,0.673303,7.500000e-05
120,0.752130,0.240357,0.279935,0.204007,0.650880,0.692303,1.833288,0.647853,0.598684,0.824411,0.691729,0.204684,0.142479,0.583622,0.534453,0.561807,0.021814,0.532895,val_gen_auc_avg,0.647853,6.545085e-05
140,0.709336,0.125611,0.266879,0.125588,0.735878,0.717113,1.647784,0.627770,0.572368,0.857143,0.736842,0.183258,0.129970,0.576350,0.495845,0.493940,0.080506,0.565789,val_gen_auc_avg,0.627770,5.522642e-05
160,0.571732,0.103110,0.263105,0.102332,0.625551,0.670306,1.518259,0.613573,0.592105,0.857934,0.740602,0.132583,0.105762,0.596434,0.488227,0.516967,0.079467,0.572368,val_gen_auc_avg,0.613573,4.477358e-05
180,0.609858,0.206638,0.264690,0.181700,0.614617,0.667915,1.410452,0.601108,0.605263,0.857821,0.789474,0.115238,0.100665,0.629328,0.524238,0.496537,0.105090,0.539474,val_gen_auc_avg,0.601108,3.454915e-05
200,0.674320,0.071859,0.263533,0.067973,0.808432,0.718286,1.320310,0.588296,0.578947,0.851490,0.778195,0.105757,0.103493,0.580159,0.473511,0.503809,0.076350,0.592105,val_gen_auc_avg,0.588296,2.500000e-05
220,0.701412,0.084630,0.254384,0.046501,0.731053,0.629667,1.230691,0.614612,0.585526,0.843801,0.781955,0.080907,0.094886,0.585353,0.481994,0.510561,0.074792,0.532895,val_gen_auc_avg,0.614612,1.654347e-05
240,0.687390,0.109782,0.251811,0.048357,0.753308,0.557054,1.191183,0.558864,0.592105,0.850416,0.785714,0.077211,0.079608,0.497922,0.493248,0.518525,-0.020602,0.500000,val_gen_auc_avg,0.558864,9.549150e-06
260,0.641997,0.071916,0.247250,0.059299,0.599955,0.718092,1.128627,0.614093,0.585526,0.867262,0.781955,0.088824,0.091849,0.569252,0.433864,0.493940,0.075312,0.532895,val_gen_auc_avg,0.614093,4.322727e-06
280,0.656133,0.141948,0.263071,0.089001,0.706461,0.807949,1.109809,0.567521,0.578947,0.853016,0.781955,0.089954,0.094970,0.603878,0.512985,0.450312,0.090893,0.578947,val_gen_auc_avg,0.567521,1.092620e-06
300,0.643677,0.078606,0.246899,0.057227,0.820884,0.656569,1.081240,0.583449,0.578947,0.841144,0.774436,0.091928,0.083218,0.560249,0.519564,0.487708,0.040686,0.513158,val_gen_auc_avg,0.583449,0.000000e+00
