epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.663006,0.4915,0.4359,0.3835,0.3579,9.972609e-05
2,0.433050,0.5593,0.4685,0.5000,0.5828,9.890738e-05
3,0.237025,0.5593,0.5455,0.5038,0.6871,9.755283e-05
4,0.086654,0.5254,0.5746,0.5038,0.8208,9.567727e-05
5,0.017421,0.5593,0.5478,0.7180,0.8298,9.330127e-05
6,0.004105,0.5593,0.6212,0.7331,0.8258,9.045085e-05
7,0.001330,0.5254,0.6737,0.7444,0.8182,8.715724e-05
8,0.000599,0.6271,0.7110,0.7218,0.8206,8.345653e-05
9,0.000384,0.6949,0.7296,0.7143,0.8301,7.938926e-05
10,0.000287,0.6271,0.7599,0.6805,0.8421,7.500000e-05
11,0.000361,0.6441,0.7937,0.6654,0.8411,7.033683e-05
12,0.000220,0.6271,0.7972,0.6579,0.8387,6.545085e-05
13,0.000235,0.6780,0.7855,0.6992,0.8409,6.039558e-05
14,0.000140,0.7458,0.7867,0.7143,0.8431,5.522642e-05
15,0.000147,0.7627,0.7879,0.7444,0.8448,5.000000e-05
16,0.000120,0.7627,0.7902,0.7594,0.8471,4.477358e-05
17,0.000179,0.7627,0.7902,0.7632,0.8457,3.960442e-05
18,0.000143,0.7627,0.7914,0.7669,0.8443,3.454915e-05
19,0.000102,0.7627,0.7902,0.7669,0.8439,2.966317e-05
