region	fold	horizon_idx	classifier_kind	selection_metric	paper_val_auc	paper_test_auc	best_val_auc_epoch	best_val_auc	test_auc_at_best_val_auc	best_test_auc_epoch	best_test_auc_diagnostic_only	val_auc_at_best_test_auc	source_dir
RT	M238	0	eeg_preictal	val_auc	0.6468531468531468	0.7631861608909492	5	0.6469	0.7632	12	0.8914	0.6305	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_classifiers_valauc\classifiers\fold_M238\horizon_0
RT	M238	0	full_mm_preictal	val_auc	0.7051282051282051	0.7848945672451806	11	0.7051	0.7849	10	0.8265	0.6807	${ORIGINAL_PROJECT}\outputs\v6_rt_h0_fold_screen\classifiers_mm\RT\fold_M238\eeg_emg_photo\horizon_0
RT	M238	0	eeg_preictal	legacy_or_unknown	0.627039627039627	0.7331675052292385	6	0.6399	0.7554	12	0.8898	0.6259	${ORIGINAL_PROJECT}\outputs\v6_xattn_m234_h0\classifiers\fold_M238\horizon_0
RT	M238	1	eeg_preictal	val_auc	0.8111888111888111	0.8520549494035842	24	0.8112	0.8521	15	0.8547	0.789	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_classifiers_valauc\classifiers\fold_M238\horizon_1
RT	M238	1	full_mm_preictal	val_auc	0.6666666666666666	0.8564079371360732	19	0.6667	0.8564	13	0.8617	0.6515	${ORIGINAL_PROJECT}\outputs\v6_rt_h0_fold_screen\classifiers_mm\RT\fold_M238\eeg_emg_photo\horizon_1
RT	M238	1	eeg_preictal	legacy_or_unknown	0.6818181818181818	0.6405110520662559	12	0.7541	0.8418	12	0.8418	0.7541	${ORIGINAL_PROJECT}\outputs\v6_xattn_m234_h0\classifiers\fold_M238\horizon_1
RT	M238	2	eeg_preictal	val_auc	0.6421911421911422	0.8608174571767765	14	0.6422	0.8608	16	0.8638	0.6364	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_classifiers_valauc\classifiers\fold_M238\horizon_2
RT	M238	2	full_mm_preictal	val_auc	0.7377622377622378	0.815648142913675	14	0.7378	0.8156	12	0.818	0.7249	${ORIGINAL_PROJECT}\outputs\v6_rt_h0_fold_screen\classifiers_mm\RT\fold_M238\eeg_emg_photo\horizon_2
RT	M238	2	eeg_preictal	legacy_or_unknown	0.6375291375291375	0.8702018203403245	15	0.6457	0.8713	16	0.8718	0.6399	${ORIGINAL_PROJECT}\outputs\v6_xattn_m234_h0\classifiers\fold_M238\horizon_2
RT	M238	3	eeg_preictal	val_auc	0.6433566433566433	0.5953982701113686	2	0.6434	0.5954	9	0.7277	0.5548	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_classifiers_valauc\classifiers\fold_M238\horizon_3
RT	M238	3	full_mm_preictal	val_auc	0.752913752913753	0.8336254169257731	16	0.7529	0.8336	14	0.8366	0.7459	${ORIGINAL_PROJECT}\outputs\v6_rt_h0_fold_screen\classifiers_mm\RT\fold_M238\eeg_emg_photo\horizon_3
RT	M238	3	eeg_preictal	legacy_or_unknown	0.5442890442890442	0.4857821244841427	3	0.6469	0.552	8	0.716	0.5606	${ORIGINAL_PROJECT}\outputs\v6_xattn_m234_h0\classifiers\fold_M238\horizon_3
RT	M238	4	eeg_preictal	val_auc	0.6853146853146853	0.8605347956357057	16	0.6853	0.8605	22	0.8636	0.6795	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_classifiers_valauc\classifiers\fold_M238\horizon_4
RT	M238	4	full_mm_preictal	val_auc	0.7668997668997669	0.7677652778562948	19	0.7669	0.7678	12	0.7948	0.7506	${ORIGINAL_PROJECT}\outputs\v6_rt_h0_fold_screen\classifiers_mm\RT\fold_M238\eeg_emg_photo\horizon_4
RT	M238	4	eeg_preictal	legacy_or_unknown	0.4662004662004662	0.2832268641528634	7	0.6119	0.7302	8	0.7528	0.6002	${ORIGINAL_PROJECT}\outputs\v6_xattn_m234_h0\classifiers\fold_M238\horizon_4
RT	M238	5	eeg_preictal	val_auc	0.7972027972027972	0.8387133246650461	12	0.7972	0.8387	16	0.8471	0.7902	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_classifiers_valauc\classifiers\fold_M238\horizon_5
RT	M238	5	full_mm_preictal	val_auc	0.8135198135198135	0.8443665554864606	18	0.8135	0.8444	13	0.8486	0.8007	${ORIGINAL_PROJECT}\outputs\v6_rt_h0_fold_screen\classifiers_mm\RT\fold_M238\eeg_emg_photo\horizon_5
RT	M238	5	eeg_preictal	legacy_or_unknown	0.7785547785547785	0.8445361524111029	12	0.7902	0.8383	22	0.8451	0.7797	${ORIGINAL_PROJECT}\outputs\v6_xattn_m234_h0\classifiers\fold_M238\horizon_5
