region	fold	horizon_idx	diffusion_modality	run_name	seed	saved_best_epoch	saved_final_eval_test_auc	saved_best_metric	best_model_exists	final_model_exists	source_dir	best_val_auc_epoch	best_val_auc	test_auc_at_best_val_auc	condition_gap_at_best_val_auc	best_test_auc_epoch	best_test_auc_diagnostic_only	val_auc_at_best_test_auc
RT	M238	0	eeg	anchor_eeg__s0__h0	0.0	240	0.8721804511278195	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_allh\diffusion\fold_M238\horizon_0\anchor_eeg__s0__h0	240	0.601627	0.869919	0.147507	260	0.871502	0.561461
RT	M238	0	eeg	anchor_eeg__s1__h0	1.0	120	0.850472044773588	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_allh\diffusion\fold_M238\horizon_0\anchor_eeg__s1__h0	120	0.631233	0.802589	0.010907	180	0.849115	0.585007
RT	M238	0	eeg	anchor_eeg__s2__h0	2.0	160	0.8838826389281473	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_allh\diffusion\fold_M238\horizon_0\anchor_eeg__s2__h0	160	0.662396	0.83289	0.051939	120	0.864775	0.634695
RT	M238	0	eeg	anchor_eeg__s3__h0	3.0	120	0.8791339250381592	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_allh\diffusion\fold_M238\horizon_0\anchor_eeg__s3__h0	120	0.644391	0.846176	-0.014024	140	0.873989	0.611496
RT	M238	0	eeg	anchor_eeg__s4__h0	4.0	120	0.8834869127706484	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_allh\diffusion\fold_M238\horizon_0\anchor_eeg__s4__h0	120	0.59401	0.846232	-0.020776	140	0.86958	0.535319
RT	M238	0	eeg_emg_photo	anchor_b02__s0__h0	0.0	140	0.8894228051331335	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_mm_allh\diffusion\fold_M238\horizon_0\anchor_b02__s0__h0	140	0.800381	0.840014	0.244114	120	0.859121	0.773892
RT	M238	0	eeg_emg_photo	anchor_b02__s1__h0	1.0	300	0.8518288201707276	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_mm_allh\diffusion\fold_M238\horizon_0\anchor_b02__s1__h0	300	0.804882	0.848267	0.20412	140	0.883035	0.759003
RT	M238	0	eeg_emg_photo	anchor_b02__s2__h0	2.0	180	0.8618915710328452	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_mm_allh\diffusion\fold_M238\horizon_0\anchor_b02__s2__h0	180	0.793456	0.871898	0.205332	120	0.881056	0.749827
RT	M238	0	eeg_emg_photo	anchor_b02__s3__h0	3.0	100	0.8518853524789417	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_mm_allh\diffusion\fold_M238\horizon_0\anchor_b02__s3__h0	100	0.809557	0.825202	0.047091	80	0.828877	0.762985
RT	M238	0	eeg_emg_photo	anchor_b02__s4__h0	4.0	100	0.8817344112160099	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_mm_allh\diffusion\fold_M238\horizon_0\anchor_b02__s4__h0	100	0.800381	0.830007	0.188366	120	0.836622	0.782548
RT	M238	1	eeg	anchor_eeg__s0__h1	0.0	100	0.8340776753914861	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_allh\diffusion\fold_M238\horizon_1\anchor_eeg__s0__h1	100	0.635907	0.763525	-0.022507	140	0.84414	0.591413
RT	M238	1	eeg	anchor_eeg__s1__h1	1.0	260	0.8205099214200916	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_allh\diffusion\fold_M238\horizon_1\anchor_eeg__s1__h1	260	0.67365	0.79247	0.088643	180	0.827746	0.552112
RT	M238	1	eeg	anchor_eeg__s2__h1	2.0	120	0.8743852111481711	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_allh\diffusion\fold_M238\horizon_1\anchor_eeg__s2__h1	120	0.684557	0.853299	0.091586	100	0.858104	0.641274
RT	M238	1	eeg	anchor_eeg__s3__h1	3.0	100	0.8369042908021934	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_allh\diffusion\fold_M238\horizon_1\anchor_eeg__s3__h1	100	0.676247	0.805698	-0.067521	120	0.834586	0.60786
RT	M238	1	eeg	anchor_eeg__s4__h1	4.0	100	0.8557295494375036	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_allh\diffusion\fold_M238\horizon_1\anchor_eeg__s4__h1	100	0.622403	0.802815	0.03099	120	0.831477	0.605609
RT	M238	1	eeg_emg_photo	anchor_b02__s0__h1	0.0	100	0.8412007462264683	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_mm_allh\diffusion\fold_M238\horizon_1\anchor_b02__s0__h1	100	0.808345	0.838374	0.186115	100	0.838374	0.808345
RT	M238	1	eeg_emg_photo	anchor_b02__s1__h1	1.0	220	0.8307422692068517	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_mm_allh\diffusion\fold_M238\horizon_1\anchor_b02__s1__h1	220	0.779432	0.837074	0.139543	180	0.843349	0.723684
RT	M238	1	eeg_emg_photo	anchor_b02__s2__h1	2.0	80	0.8691277064842557	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_mm_allh\diffusion\fold_M238\horizon_1\anchor_b02__s2__h1	80	0.787916	0.835321	0.169668	140	0.860139	0.779086
RT	M238	1	eeg_emg_photo	anchor_b02__s3__h1	3.0	80	0.7977839335180055	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_mm_allh\diffusion\fold_M238\horizon_1\anchor_b02__s3__h1	80	0.750173	0.713325	0.019737	300	0.815818	0.639889
RT	M238	1	eeg_emg_photo	anchor_b02__s4__h1	4.0	300	0.7840465826219685	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_mm_allh\diffusion\fold_M238\horizon_1\anchor_b02__s4__h1	300	0.805575	0.754706	0.22178	120	0.868223	0.743594
RT	M238	2	eeg	anchor_eeg__s0__h2	0.0	240	0.7737577025269942	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_allh\diffusion\fold_M238\horizon_2\anchor_eeg__s0__h2	240	0.683172	0.779807	0.086219	120	0.816609	0.510388
