epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.537824,1.893492,0.603156,0.703201,1.736691,1.756266,3.790866,0.515582,0.500000,0.481146,0.500000,0.027691,0.027137,0.431787,0.490478,0.518179,-0.086392,0.500000,val_gen_auc_avg,0.515582,9.999726e-05
20,0.828366,0.622927,0.368378,0.541925,0.874894,0.934341,3.320691,0.417417,0.500000,0.492170,0.500000,0.031099,0.030458,0.485284,0.536357,0.550727,-0.065443,0.500000,val_gen_auc_avg,0.417417,9.890738e-05
40,0.722490,0.323440,0.354916,0.426503,0.716930,0.769958,2.645938,0.550900,0.500000,0.513596,0.500000,0.038232,0.038019,0.591932,0.452909,0.588816,0.003116,0.500000,val_gen_auc_avg,0.550900,9.567727e-05
60,0.708546,0.202999,0.331160,0.216077,0.638146,0.661620,2.288773,0.676766,0.500000,0.675561,0.500000,0.078010,0.061110,0.545533,0.499134,0.521814,0.023719,0.500000,val_gen_auc_avg,0.676766,9.045085e-05
80,0.634570,0.127111,0.307160,0.145654,0.656195,0.642085,1.926269,0.766274,0.500000,0.814517,0.496241,0.113779,0.097693,0.565616,0.594702,0.431267,-0.029086,0.552632,val_gen_auc_avg,0.766274,8.345653e-05
100,0.658659,0.180381,0.302130,0.099287,0.646416,0.651338,1.684257,0.753463,0.532895,0.849737,0.518797,0.162160,0.112995,0.644391,0.503463,0.493594,0.140928,0.552632,val_gen_auc_avg,0.753463,7.500000e-05
120,0.618154,0.130410,0.274910,0.087302,0.564449,0.615517,1.509060,0.768006,0.526316,0.853242,0.500000,0.134245,0.100518,0.635734,0.552458,0.469356,0.083276,0.539474,val_gen_auc_avg,0.768006,6.545085e-05
140,0.577255,0.215178,0.280188,0.165272,0.682087,0.633889,1.341022,0.687154,0.500000,0.807507,0.500000,0.095915,0.082117,0.700485,0.528220,0.420533,0.172265,0.526316,val_gen_auc_avg,0.687154,5.522642e-05
160,0.647316,0.118343,0.255279,0.075588,0.664986,0.712993,1.255173,0.703082,0.493421,0.784668,0.496241,0.083607,0.061935,0.669148,0.536011,0.457583,0.133137,0.532895,val_gen_auc_avg,0.703082,4.477358e-05
180,0.634487,0.062620,0.247465,0.035179,0.599057,0.643085,1.195405,0.717105,0.493421,0.815309,0.500000,0.121857,0.078641,0.671053,0.448234,0.557652,0.113400,0.565789,val_gen_auc_avg,0.717105,3.454915e-05
200,0.621558,0.142912,0.257613,0.100392,0.713242,0.595839,1.119101,0.742902,0.500000,0.800837,0.507519,0.115623,0.071952,0.652355,0.471607,0.529086,0.123269,0.559211,val_gen_auc_avg,0.742902,2.500000e-05
220,0.710226,0.074827,0.258205,0.019484,0.812843,0.762711,1.114175,0.734418,0.539474,0.804002,0.552632,0.142244,0.099135,0.630021,0.510907,0.443386,0.119114,0.500000,val_gen_auc_avg,0.734418,1.654347e-05
240,0.593464,0.083418,0.237002,0.026800,0.715271,0.739052,1.078385,0.742555,0.572368,0.824580,0.567669,0.153058,0.111767,0.673650,0.474896,0.529605,0.144044,0.552632,val_gen_auc_avg,0.742555,9.549150e-06
260,0.674804,0.310683,0.260271,0.237236,0.760509,0.678413,1.069859,0.701177,0.559211,0.806377,0.597744,0.160117,0.101714,0.603359,0.457756,0.539127,0.064231,0.519737,val_gen_auc_avg,0.701177,4.322727e-06
280,0.558101,0.362384,0.257872,0.260113,0.688111,0.666280,1.054903,0.714855,0.671053,0.782181,0.624060,0.159729,0.109135,0.588816,0.497576,0.467278,0.091240,0.486842,val_gen_auc_avg,0.714855,1.092620e-06
300,0.671025,0.046614,0.242938,0.015218,0.747126,0.590066,1.017286,0.675208,0.605263,0.787382,0.665414,0.143113,0.107428,0.622230,0.510561,0.547957,0.074273,0.519737,val_gen_auc_avg,0.675208,0.000000e+00
