region	fold	horizon_idx	run_kind	run_name	seed	diffusion_modality	n_seeds_in_ensemble	n_samples_per_seed	n_total_generated_per_event	n_test	n_test_pos	n_test_neg	test_auc	test_auc_ci_lo	test_auc_ci_hi	test_acc	test_acc_ci_lo	test_acc_ci_hi	test_balanced_acc	val_auc	val_acc	preictal_test_auc	preictal_test_acc	preictal_mm_eeg_emg_test_auc	preictal_mm_eeg_emg_test_acc	preictal_mm_eeg_photo_test_auc	preictal_mm_eeg_photo_test_acc	preictal_mm_eeg_emg_photo_test_auc	preictal_mm_eeg_emg_photo_test_acc	target_test_auc	target_test_acc	best_score	best_select_by	val_holdout_mouse	run_dir
RT	M238	0	ensemble	ensemble_5seed		eeg	5	16	80	266	133	133	0.9060	0.8636	0.9398	0.6466	0.5902	0.7030	0.6466	0.6182	0.5921	0.7632	0.6391	nan	nan	nan	nan	0.7849	0.7180	0.9987	0.9248			M229	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_mm_allh\ensembles\fold_M238\horizon_0\eeg
RT	M238	0	single_ckpt	anchor_eeg__s0__h0	0	eeg	1	16	16	266	133	133	0.8722	0.8288	0.9137	0.8008	0.7519	0.8459	0.8008	0.5274	0.5658	0.7632	0.6391	nan	nan	nan	nan	0.7849	0.7180	0.9987	0.9248	nan	val_gen_auc_avg	M229	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_allh\diffusion\fold_M238\horizon_0\anchor_eeg__s0__h0
RT	M238	0	single_ckpt	anchor_eeg__s1__h0	1	eeg	1	16	16	266	133	133	0.8505	0.7986	0.8947	0.5188	0.4586	0.5789	0.5188	0.6510	0.5197	0.7632	0.6391	nan	nan	nan	nan	0.7849	0.7180	0.9987	0.9248	nan	val_gen_auc_avg	M229	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_allh\diffusion\fold_M238\horizon_0\anchor_eeg__s1__h0
RT	M238	0	single_ckpt	anchor_eeg__s2__h0	2	eeg	1	16	16	266	133	133	0.8839	0.8391	0.9260	0.6504	0.5940	0.7068	0.6504	0.6155	0.5789	0.7632	0.6391	nan	nan	nan	nan	0.7849	0.7180	0.9987	0.9248	nan	val_gen_auc_avg	M229	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_allh\diffusion\fold_M238\horizon_0\anchor_eeg__s2__h0
RT	M238	0	single_ckpt	anchor_eeg__s3__h0	3	eeg	1	16	16	266	133	133	0.8791	0.8306	0.9219	0.6353	0.5789	0.6917	0.6353	0.6186	0.5855	0.7632	0.6391	nan	nan	nan	nan	0.7849	0.7180	0.9987	0.9248	nan	val_gen_auc_avg	M229	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_allh\diffusion\fold_M238\horizon_0\anchor_eeg__s3__h0
RT	M238	0	single_ckpt	anchor_eeg__s4__h0	4	eeg	1	16	16	266	133	133	0.8835	0.8412	0.9243	0.6805	0.6278	0.7368	0.6805	0.6195	0.5789	0.7632	0.6391	nan	nan	nan	nan	0.7849	0.7180	0.9987	0.9248	nan	val_gen_auc_avg	M229	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_eeg_allh\diffusion\fold_M238\horizon_0\anchor_eeg__s4__h0
RT	M238	0	ensemble	ensemble_5seed		eeg_emg_photo	5	16	80	266	133	133	0.9033	0.8641	0.9371	0.7481	0.6955	0.8008	0.7481	0.8317	0.7171	0.7632	0.6391	nan	nan	nan	nan	0.7849	0.7180	0.9987	0.9248			M229	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_mm_allh\ensembles\fold_M238\horizon_0\eeg_emg_photo
RT	M238	0	single_ckpt	anchor_b02__s0__h0	0	eeg_emg_photo	1	16	16	266	133	133	0.8894	0.8475	0.9275	0.8308	0.7856	0.8723	0.8308	0.8286	0.8026	0.7632	0.6391	nan	nan	nan	nan	0.7849	0.7180	0.9987	0.9248	nan	val_gen_auc_avg	M229	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_mm_allh\diffusion\fold_M238\horizon_0\anchor_b02__s0__h0
RT	M238	0	single_ckpt	anchor_b02__s1__h0	1	eeg_emg_photo	1	16	16	266	133	133	0.8518	0.8057	0.8965	0.8045	0.7593	0.8534	0.8045	0.7891	0.7697	0.7632	0.6391	nan	nan	nan	nan	0.7849	0.7180	0.9987	0.9248	nan	val_gen_auc_avg	M229	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_mm_allh\diffusion\fold_M238\horizon_0\anchor_b02__s1__h0
RT	M238	0	single_ckpt	anchor_b02__s2__h0	2	eeg_emg_photo	1	16	16	266	133	133	0.8619	0.8131	0.9092	0.8083	0.7556	0.8571	0.8083	0.7725	0.7368	0.7632	0.6391	nan	nan	nan	nan	0.7849	0.7180	0.9987	0.9248	nan	val_gen_auc_avg	M229	${ORIGINAL_PROJECT}\outputs\v6_paper_RT_M238_mm_allh\diffusion\fold_M238\horizon_0\anchor_b02__s2__h0
