region	fold	horizon_idx	classifier_kind	selection_metric	paper_val_auc	paper_test_auc	best_val_auc_epoch	best_val_auc	test_auc_at_best_val_auc	best_test_auc_epoch	best_test_auc_diagnostic_only	val_auc_at_best_test_auc	source_dir
VPM	M710	0	eeg_preictal	val_auc	0.8606701940035273	0.7149212626226961	11	0.8607	0.7149	16	0.727	0.8325	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_classifiers_valauc\classifiers\VPM\fold_M710\horizon_0
VPM	M710	0	eeg_preictal	legacy_or_unknown	0.6067019400352733	0.5765835746063132	8	0.8342	0.6736	6	0.7172	0.7848	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_classifiers\classifiers\VPM\fold_M710\horizon_0
VPM	M710	0	full_mm_preictal	val_auc	0.9206349206349207	0.7263611326883695	8	0.9206	0.7264	15	0.7545	0.9153	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_classifiers\classifiers_mm\VPM\fold_M710\eeg_emg_photo\horizon_0
VPM	M710	1	eeg_preictal	val_auc	0.91005291005291	0.7308805875291292	24	0.9101	0.7309	19	0.7367	0.8836	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_classifiers_valauc\classifiers\VPM\fold_M710\horizon_1
VPM	M710	1	eeg_preictal	legacy_or_unknown	0.5202821869488536	0.4507450038839065	8	0.769	0.6752	8	0.6752	0.769	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_classifiers\classifiers\VPM\fold_M710\horizon_1
VPM	M710	1	full_mm_preictal	val_auc	0.91005291005291	0.7231480827625169	22	0.9101	0.7231	27	0.7236	0.903	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_classifiers\classifiers_mm\VPM\fold_M710\eeg_emg_photo\horizon_1
VPM	M710	2	eeg_preictal	val_auc	0.8095238095238094	0.7065179012781584	2	0.8095	0.7065	9	0.7229	0.7672	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_classifiers_valauc\classifiers\VPM\fold_M710\horizon_2
VPM	M710	2	eeg_preictal	legacy_or_unknown	0.5855379188712522	0.5304003954522987	5	0.8183	0.6667	7	0.7302	0.7213	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_classifiers\classifiers\VPM\fold_M710\horizon_2
VPM	M710	2	full_mm_preictal	val_auc	0.9223985890652557	0.6839912435562461	14	0.9224	0.684	13	0.6913	0.9189	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_classifiers\classifiers_mm\VPM\fold_M710\eeg_emg_photo\horizon_2
VPM	M710	3	eeg_preictal	val_auc	0.8447971781305115	0.7545371089612316	8	0.8448	0.7545	7	0.7549	0.8219	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_classifiers_valauc\classifiers\VPM\fold_M710\horizon_3
VPM	M710	3	eeg_preictal	legacy_or_unknown	0.6049382716049383	0.48301673610620716	8	0.8501	0.7579	8	0.7579	0.8501	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_classifiers\classifiers\VPM\fold_M710\horizon_3
VPM	M710	3	full_mm_preictal	val_auc	0.8306878306878307	0.6202245604124003	7	0.8307	0.6202	14	0.6968	0.7672	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_classifiers\classifiers_mm\VPM\fold_M710\eeg_emg_photo\horizon_3
VPM	M710	4	eeg_preictal	val_auc	0.8342151675485009	0.7493821057834898	19	0.8342	0.7494	26	0.7527	0.8254	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_classifiers_valauc\classifiers\VPM\fold_M710\horizon_4
VPM	M710	4	eeg_preictal	legacy_or_unknown	0.5273368606701939	0.6298284019490149	9	0.7319	0.7069	9	0.7069	0.7319	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_classifiers\classifiers\VPM\fold_M710\horizon_4
VPM	M710	4	full_mm_preictal	val_auc	0.8377425044091711	0.5477014335145823	4	0.8377	0.5477	11	0.676	0.7866	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_classifiers\classifiers_mm\VPM\fold_M710\eeg_emg_photo\horizon_4
VPM	M710	5	eeg_preictal	val_auc	0.8447971781305116	0.7350469599604547	21	0.8448	0.735	15	0.7447	0.8148	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_classifiers_valauc\classifiers\VPM\fold_M710\horizon_5
VPM	M710	5	eeg_preictal	legacy_or_unknown	0.5837742504409171	0.5081562036579338	8	0.7619	0.7079	8	0.7079	0.7619	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_classifiers\classifiers\VPM\fold_M710\horizon_5
VPM	M710	5	full_mm_preictal	val_auc	0.8518518518518519	0.5759480262693313	6	0.8519	0.5759	9	0.5974	0.7954	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_classifiers\classifiers_mm\VPM\fold_M710\eeg_emg_photo\horizon_5
