region	fold	horizon_idx	diffusion_modality	run_name	seed	saved_best_epoch	saved_final_eval_test_auc	saved_best_metric	best_model_exists	final_model_exists	source_dir	best_val_auc_epoch	best_val_auc	test_auc_at_best_val_auc	condition_gap_at_best_val_auc	best_test_auc_epoch	best_test_auc_diagnostic_only	val_auc_at_best_test_auc
VPM	M710	0	eeg	anchor_eeg__s0__h0	0.0	160	0.7418967587034814	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_0\anchor_eeg__s0__h0	160	0.866939	0.717534	0.236735	140	0.744298	0.813061
VPM	M710	0	eeg	anchor_eeg__s1__h0	1.0	180	0.7340583292140387	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_0\anchor_eeg__s1__h0	180	0.933061	0.687805	0.377143	120	0.72968	0.85551
VPM	M710	0	eeg	anchor_eeg__s2__h0	2.0	200	0.7142150978038273	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_0\anchor_eeg__s2__h0	200	0.886531	0.714286	0.262857	140	0.733564	0.870204
VPM	M710	0	eeg	anchor_eeg__s3__h0	3.0	180	0.7485347080008474	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_0\anchor_eeg__s3__h0	180	0.955102	0.720994	0.29551	160	0.754184	0.941224
VPM	M710	0	eeg	anchor_eeg__s4__h0	4.0	140	0.7454981992797118	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_0\anchor_eeg__s4__h0	140	0.857143	0.724808	0.086531	100	0.768307	0.793469
VPM	M710	0	eeg_emg_photo	anchor_vpm__s0__h0	0.0	80	0.78031212484994	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_0\anchor_vpm__s0__h0	80	0.933878	0.78123	0.125714	180	0.799661	0.845714
VPM	M710	0	eeg_emg_photo	anchor_vpm__s1__h0	1.0	240	0.7557375891533084	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_0\anchor_vpm__s1__h0	240	0.884898	0.719794	0.311837	140	0.765059	0.66449
VPM	M710	0	eeg_emg_photo	anchor_vpm__s2__h0	2.0	280	0.7372360708989477	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_0\anchor_vpm__s2__h0	280	0.882449	0.740414	0.137143	240	0.761387	0.876735
VPM	M710	0	eeg_emg_photo	anchor_vpm__s3__h0	3.0	300	0.74599251465292	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_0\anchor_vpm__s3__h0	300	0.927347	0.732646	0.328163	180	0.775793	0.715918
VPM	M710	0	eeg_emg_photo	anchor_vpm__s4__h0	4.0	280	0.7525598474683991	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_0\anchor_vpm__s4__h0	280	0.831837	0.736106	0.315918	140	0.791187	0.804082
VPM	M710	1	eeg	anchor_eeg__s0__h1	0.0	260	0.7438034037144269	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_1\anchor_eeg__s0__h1	260	0.813878	0.727562	0.189388	200	0.781513	0.800816
VPM	M710	1	eeg	anchor_eeg__s1__h1	1.0	300	0.7517124496857567	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_1\anchor_eeg__s1__h1	300	0.81551	0.731869	0.35102	260	0.760681	0.8
VPM	M710	1	eeg	anchor_eeg__s2__h1	2.0	300	0.7558082056351952	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_1\anchor_eeg__s2__h1	300	0.732245	0.772262	0.178776	300	0.772262	0.732245
VPM	M710	1	eeg	anchor_eeg__s3__h1	3.0	240	0.7718381470235153	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_1\anchor_eeg__s3__h1	240	0.857143	0.773533	0.196735	180	0.793306	0.763265
VPM	M710	1	eeg	anchor_eeg__s4__h1	4.0	140	0.7370948379351742	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_1\anchor_eeg__s4__h1	140	0.83102	0.74232	0.137143	220	0.769578	0.702857
VPM	M710	1	eeg_emg_photo	anchor_vpm__s0__h1	0.0	180	0.7359649742249841	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_1\anchor_vpm__s0__h1	180	0.804898	0.737942	0.226939	180	0.737942	0.804898
VPM	M710	1	eeg_emg_photo	anchor_vpm__s1__h1	1.0	80	0.713862015394393	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_1\anchor_vpm__s1__h1	80	0.910204	0.691618	0.130612	140	0.710684	0.666939
VPM	M710	1	eeg_emg_photo	anchor_vpm__s2__h1	2.0	140	0.7214179789562883	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_1\anchor_vpm__s2__h1	140	0.834286	0.70786	0.101224	120	0.755667	0.819592
VPM	M710	1	eeg_emg_photo	anchor_vpm__s3__h1	3.0	240	0.6962785114045618	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_1\anchor_vpm__s3__h1	240	0.733061	0.694442	0.137143	120	0.741967	0.654694
VPM	M710	1	eeg_emg_photo	anchor_vpm__s4__h1	4.0	220	0.6896405621071957	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_1\anchor_vpm__s4__h1	220	0.857143	0.685827	0.257959	140	0.720994	0.737143
VPM	M710	2	eeg	anchor_eeg__s0__h2	0.0	260	0.7516418332038697	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_2\anchor_eeg__s0__h2	260	0.825306	0.710049	0.361633	220	0.767319	0.813878
VPM	M710	2	eeg	anchor_eeg__s1__h2	1.0	240	0.7582797825012357	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_2\anchor_eeg__s1__h2	240	0.820408	0.719864	0.120816	220	0.75941	0.692245
VPM	M710	2	eeg	anchor_eeg__s2__h2	2.0	200	0.7411905938846127	val_gen_auc_avg	True	True	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_2\anchor_eeg__s2__h2	200	0.852245	0.745357	0.300408	160	0.757785	0.83102
