epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.547857,1.680775,0.647232,0.699726,1.901741,1.864753,3.540836,0.473469,0.514286,0.520161,0.453782,0.198496,0.204236,0.461224,0.445714,0.573061,-0.111837,0.442857,val_gen_auc_avg,0.473469,9.999726e-05
20,1.321684,0.672006,0.525550,0.424154,1.212155,1.376063,3.173802,0.598367,0.614286,0.498482,0.483193,0.232746,0.237783,0.488980,0.430204,0.484082,0.004898,0.471429,val_gen_auc_avg,0.598367,9.890738e-05
40,0.905974,0.504301,0.478009,0.315914,1.005428,0.957222,3.138365,0.387755,0.471429,0.484217,0.495798,0.216437,0.208710,0.617143,0.440000,0.504490,0.112653,0.585714,val_gen_auc_avg,0.387755,9.567727e-05
60,0.897785,0.344348,0.446627,0.146649,0.836951,0.870447,3.003304,0.454694,0.471429,0.585552,0.525210,0.187533,0.224038,0.564082,0.377143,0.503673,0.060408,0.471429,val_gen_auc_avg,0.454694,9.045085e-05
80,0.808193,0.302631,0.459959,0.181657,0.877844,0.824728,2.964835,0.616327,0.528571,0.682650,0.626050,0.196034,0.206984,0.559184,0.322449,0.511020,0.048163,0.514286,val_gen_auc_avg,0.616327,8.345653e-05
100,0.822508,0.204304,0.424217,0.053284,0.671191,0.778120,2.800281,0.573878,0.542857,0.722548,0.701681,0.158490,0.164768,0.521633,0.599184,0.395102,-0.077551,0.500000,val_gen_auc_avg,0.573878,7.500000e-05
120,0.699755,0.360882,0.425350,0.168299,0.677751,0.655722,2.678807,0.654694,0.542857,0.741967,0.710084,0.147935,0.118460,0.633469,0.522449,0.439184,0.111020,0.657143,val_gen_auc_avg,0.654694,6.545085e-05
140,0.707055,0.178737,0.424082,0.036967,0.692456,0.719008,2.713071,0.643265,0.557143,0.708354,0.689076,0.132273,0.108223,0.740408,0.536327,0.509388,0.204082,0.600000,val_gen_auc_avg,0.643265,5.522642e-05
160,0.687456,0.135465,0.403070,0.043528,0.782530,0.708821,2.679492,0.701224,0.542857,0.713226,0.697479,0.140984,0.104761,0.720000,0.484898,0.462041,0.235102,0.642857,val_gen_auc_avg,0.701224,4.477358e-05
180,0.695574,0.119938,0.399732,0.031354,0.583390,0.697447,2.661493,0.653878,0.571429,0.706942,0.697479,0.191715,0.102745,0.675918,0.566531,0.493878,0.109388,0.657143,val_gen_auc_avg,0.653878,3.454915e-05
200,0.667945,0.169559,0.370018,0.032950,0.689718,0.647956,2.580561,0.728980,0.614286,0.712944,0.676471,0.191855,0.119636,0.679184,0.540408,0.454694,0.138776,0.600000,val_gen_auc_avg,0.728980,2.500000e-05
220,0.665600,0.248329,0.403194,0.076125,0.645567,0.628643,2.446446,0.595102,0.614286,0.696420,0.634454,0.225342,0.136252,0.666939,0.421224,0.519184,0.147755,0.585714,val_gen_auc_avg,0.595102,1.654347e-05
240,0.707560,0.131068,0.379344,0.012395,0.682079,0.626560,2.322220,0.733061,0.614286,0.694442,0.621849,0.227704,0.157597,0.648163,0.511020,0.437551,0.137143,0.600000,val_gen_auc_avg,0.733061,9.549150e-06
260,0.624064,0.177051,0.388980,0.072482,0.706701,0.669634,2.199622,0.560816,0.514286,0.703905,0.600840,0.241469,0.140582,0.716735,0.426122,0.531429,0.185306,0.700000,val_gen_auc_avg,0.560816,4.322727e-06
280,0.635553,0.117905,0.389366,0.015905,0.672003,0.591817,2.117153,0.711837,0.600000,0.698185,0.605042,0.239167,0.138372,0.727347,0.370612,0.530612,0.196735,0.628571,val_gen_auc_avg,0.711837,1.092620e-06
300,0.656176,0.150179,0.358753,0.031911,0.645754,0.683565,2.009339,0.678367,0.571429,0.674670,0.584034,0.258309,0.149632,0.720000,0.495510,0.498776,0.221224,0.700000,val_gen_auc_avg,0.678367,0.000000e+00
