region	fold	horizon_idx	run_kind	run_name	seed	diffusion_modality	n_seeds_in_ensemble	n_samples_per_seed	n_total_generated_per_event	n_test	n_test_pos	n_test_neg	test_auc	test_auc_ci_lo	test_auc_ci_hi	test_acc	test_acc_ci_lo	test_acc_ci_hi	test_balanced_acc	val_auc	val_acc	preictal_test_auc	preictal_test_acc	preictal_mm_eeg_emg_test_auc	preictal_mm_eeg_emg_test_acc	preictal_mm_eeg_photo_test_auc	preictal_mm_eeg_photo_test_acc	preictal_mm_eeg_emg_photo_test_auc	preictal_mm_eeg_emg_photo_test_acc	target_test_auc	target_test_acc	best_score	best_select_by	val_holdout_mouse	run_dir
VPM	M710	0	ensemble	ensemble_5seed		eeg	5	16	80	238	119	119	0.7482	0.6864	0.8117	0.7017	0.6471	0.7605	0.7017	0.9469	0.7571	0.7149	0.6849	0.7102	0.6429	0.6751	0.5000	0.7264	0.6261	0.9234	0.7479			M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\ensembles\VPM\fold_M710\horizon_0\eeg
VPM	M710	0	single_ckpt	anchor_eeg__s0__h0	0	eeg	1	16	16	238	119	119	0.7419	0.6811	0.8023	0.6807	0.6218	0.7395	0.6807	0.8808	0.7286	0.7149	0.6849	0.7102	0.6429	0.6751	0.5000	0.7264	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_0\anchor_eeg__s0__h0
VPM	M710	0	single_ckpt	anchor_eeg__s1__h0	1	eeg	1	16	16	238	119	119	0.7341	0.6706	0.7992	0.6849	0.6303	0.7479	0.6849	0.9567	0.7857	0.7149	0.6849	0.7102	0.6429	0.6751	0.5000	0.7264	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_0\anchor_eeg__s1__h0
VPM	M710	0	single_ckpt	anchor_eeg__s2__h0	2	eeg	1	16	16	238	119	119	0.7142	0.6475	0.7802	0.6807	0.6261	0.7437	0.6807	0.8735	0.7429	0.7149	0.6849	0.7102	0.6429	0.6751	0.5000	0.7264	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_0\anchor_eeg__s2__h0
VPM	M710	0	single_ckpt	anchor_eeg__s3__h0	3	eeg	1	16	16	238	119	119	0.7485	0.6874	0.8127	0.6261	0.5713	0.6849	0.6261	0.9510	0.9000	0.7149	0.6849	0.7102	0.6429	0.6751	0.5000	0.7264	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_0\anchor_eeg__s3__h0
VPM	M710	0	single_ckpt	anchor_eeg__s4__h0	4	eeg	1	16	16	238	119	119	0.7455	0.6850	0.8052	0.6891	0.6303	0.7437	0.6891	0.8261	0.6286	0.7149	0.6849	0.7102	0.6429	0.6751	0.5000	0.7264	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_0\anchor_eeg__s4__h0
VPM	M710	0	ensemble	ensemble_5seed		eeg_emg_photo	5	16	80	238	119	119	0.7768	0.7152	0.8363	0.6765	0.6217	0.7311	0.6765	0.9249	0.7714	0.7149	0.6849	0.7102	0.6429	0.6751	0.5000	0.7264	0.6261	0.9234	0.7479			M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\ensembles\VPM\fold_M710\horizon_0\eeg_emg_photo
VPM	M710	0	single_ckpt	anchor_vpm__s0__h0	0	eeg_emg_photo	1	16	16	238	119	119	0.7803	0.7191	0.8378	0.6975	0.6387	0.7563	0.6975	0.9012	0.7286	0.7149	0.6849	0.7102	0.6429	0.6751	0.5000	0.7264	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_0\anchor_vpm__s0__h0
VPM	M710	0	single_ckpt	anchor_vpm__s1__h0	1	eeg_emg_photo	1	16	16	238	119	119	0.7557	0.6938	0.8149	0.6429	0.5882	0.7017	0.6429	0.9135	0.7571	0.7149	0.6849	0.7102	0.6429	0.6751	0.5000	0.7264	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_0\anchor_vpm__s1__h0
VPM	M710	0	single_ckpt	anchor_vpm__s2__h0	2	eeg_emg_photo	1	16	16	238	119	119	0.7372	0.6702	0.7958	0.6387	0.5797	0.6975	0.6387	0.8784	0.8000	0.7149	0.6849	0.7102	0.6429	0.6751	0.5000	0.7264	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_0\anchor_vpm__s2__h0
VPM	M710	0	single_ckpt	anchor_vpm__s3__h0	3	eeg_emg_photo	1	16	16	238	119	119	0.7460	0.6833	0.8069	0.6303	0.5672	0.6892	0.6303	0.9151	0.8000	0.7149	0.6849	0.7102	0.6429	0.6751	0.5000	0.7264	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_0\anchor_vpm__s3__h0
