epoch,train_eps_mse,train_aux_ce,train_aux_fm,train_past_ce,val_eps_mse,test_eps_mse,val_gen_mse,val_gen_auc_avg,val_gen_acc_avg,test_gen_auc_avg,test_gen_acc_avg,val_gen_prob_std,test_gen_prob_std,val_auc_correct,val_auc_zero,val_auc_shuffled,val_condition_gap_auc,val_gen_acc_correct,best_metric,best_score,lr
1,1.605502,1.408080,0.748963,0.726618,1.536674,1.552598,4.436109,0.535510,0.514286,0.497564,0.508403,0.197098,0.204695,0.478367,0.457959,0.524082,-0.045714,0.414286,val_gen_auc_avg,0.535510,9.999726e-05
20,1.156640,0.655296,0.530976,0.486229,1.161188,1.186336,3.988973,0.475102,0.528571,0.516701,0.516807,0.190705,0.192164,0.448163,0.656327,0.493878,-0.208163,0.514286,val_gen_auc_avg,0.475102,9.890738e-05
40,1.009470,0.754393,0.443935,0.479764,1.049747,1.126862,3.282276,0.673469,0.500000,0.636961,0.504202,0.131086,0.162163,0.531429,0.420408,0.580408,-0.048980,0.500000,val_gen_auc_avg,0.673469,9.567727e-05
60,0.883213,0.509683,0.456921,0.356538,1.058971,1.003948,3.138552,0.630204,0.500000,0.708283,0.537815,0.094024,0.161934,0.586122,0.535510,0.528163,0.050612,0.500000,val_gen_auc_avg,0.630204,9.045085e-05
80,0.892724,0.317944,0.431178,0.229609,0.932687,0.920633,3.041837,0.548571,0.514286,0.691194,0.588235,0.131006,0.199509,0.559184,0.366531,0.527347,0.031837,0.514286,val_gen_auc_avg,0.548571,8.345653e-05
100,0.797185,0.204585,0.441440,0.084654,0.888792,0.798382,2.896678,0.684898,0.557143,0.729468,0.626050,0.135656,0.186717,0.699592,0.470204,0.450612,0.229388,0.614286,val_gen_auc_avg,0.684898,7.500000e-05
120,0.703273,0.186823,0.437921,0.120246,0.788029,0.715737,2.810179,0.737959,0.557143,0.727350,0.697479,0.148251,0.151474,0.660408,0.482449,0.534694,0.125714,0.600000,val_gen_auc_avg,0.737959,6.545085e-05
140,0.681277,0.275251,0.423284,0.150110,0.733316,0.709927,2.679901,0.831020,0.628571,0.742320,0.722689,0.132472,0.126489,0.659592,0.515918,0.522449,0.137143,0.671429,val_gen_auc_avg,0.831020,5.522642e-05
160,0.682348,0.130987,0.426357,0.089847,0.645148,0.678312,2.574290,0.740408,0.642857,0.744368,0.735294,0.120540,0.099845,0.764898,0.543673,0.544490,0.220408,0.685714,val_gen_auc_avg,0.740408,4.477358e-05
180,0.606139,0.504731,0.400383,0.348800,0.756164,0.678908,2.459833,0.753469,0.628571,0.724454,0.735294,0.141352,0.102300,0.742857,0.441633,0.529796,0.213061,0.685714,val_gen_auc_avg,0.753469,3.454915e-05
200,0.682765,0.124208,0.400518,0.034957,0.592430,0.649658,2.357703,0.800816,0.671429,0.724666,0.743697,0.125384,0.084920,0.790204,0.377143,0.352653,0.413061,0.728571,val_gen_auc_avg,0.800816,2.500000e-05
220,0.671130,0.133359,0.399799,0.013134,0.705380,0.654759,2.268241,0.702857,0.700000,0.769578,0.726891,0.146080,0.086061,0.830204,0.427755,0.591837,0.238367,0.757143,val_gen_auc_avg,0.702857,1.654347e-05
240,0.595422,0.360154,0.410891,0.228702,0.717355,0.615280,2.181279,0.780408,0.728571,0.712803,0.743697,0.137874,0.087860,0.764898,0.513469,0.490612,0.251429,0.700000,val_gen_auc_avg,0.780408,9.549150e-06
260,0.655813,0.115483,0.400401,0.025305,0.662330,0.689084,2.149951,0.798367,0.742857,0.737730,0.714286,0.139012,0.088377,0.813878,0.611429,0.433469,0.202449,0.757143,val_gen_auc_avg,0.798367,4.322727e-06
280,0.629642,0.217626,0.385582,0.075512,0.634569,0.660301,2.106313,0.742857,0.714286,0.753195,0.714286,0.144034,0.093426,0.782857,0.561633,0.551837,0.221224,0.757143,val_gen_auc_avg,0.742857,1.092620e-06
300,0.659124,0.109473,0.399035,0.054937,0.692442,0.633996,1.995873,0.798367,0.714286,0.753619,0.714286,0.144356,0.092352,0.729796,0.515102,0.435102,0.214694,0.714286,val_gen_auc_avg,0.798367,0.000000e+00
