epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.611429,0.5625,0.6067,0.4958,0.4836,9.972609e-05
2,0.374948,0.4375,0.8148,0.5000,0.7269,9.890738e-05
3,0.230050,0.4375,0.7125,0.5000,0.7225,9.755283e-05
4,0.123083,0.4375,0.6208,0.5000,0.6516,9.567727e-05
5,0.044681,0.4375,0.5855,0.5000,0.6680,9.330127e-05
6,0.015118,0.4375,0.6543,0.5000,0.7139,9.045085e-05
7,0.003499,0.4375,0.8219,0.5084,0.7549,8.715724e-05
8,0.002002,0.4375,0.8448,0.5420,0.7545,8.345653e-05
9,0.000630,0.4792,0.8342,0.5924,0.7524,7.938926e-05
10,0.000628,0.5000,0.7989,0.6387,0.7462,7.500000e-05
11,0.000379,0.5208,0.8078,0.6639,0.7454,7.033683e-05
12,0.000464,0.6458,0.8078,0.6975,0.7478,6.545085e-05
13,0.000253,0.6667,0.8166,0.7101,0.7495,6.039558e-05
14,0.000236,0.6458,0.8166,0.7143,0.7521,5.522642e-05
15,0.000210,0.6667,0.8166,0.7143,0.7547,5.000000e-05
