epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.628651,0.5417,0.5185,0.4874,0.4594,9.972609e-05
2,0.385792,0.6042,0.7919,0.5042,0.6063,9.890738e-05
3,0.195813,0.5833,0.7760,0.4958,0.6419,9.755283e-05
4,0.075138,0.6458,0.7760,0.5210,0.6756,9.567727e-05
5,0.024854,0.7708,0.8183,0.6723,0.7298,9.330127e-05
6,0.006076,0.7292,0.8095,0.6975,0.7550,9.045085e-05
7,0.001845,0.6875,0.8025,0.7437,0.8035,8.715724e-05
8,0.001277,0.7292,0.7989,0.7353,0.8351,8.345653e-05
9,0.000579,0.7292,0.7989,0.7269,0.8590,7.938926e-05
10,0.000576,0.7083,0.8113,0.6933,0.8778,7.500000e-05
11,0.000331,0.7708,0.8360,0.6681,0.8875,7.033683e-05
12,0.000461,0.7917,0.8660,0.6807,0.8910,6.545085e-05
13,0.000238,0.8125,0.8924,0.6933,0.8998,6.039558e-05
14,0.000224,0.8125,0.9101,0.7185,0.9151,5.522642e-05
15,0.000204,0.8542,0.9242,0.7479,0.9234,5.000000e-05
16,0.000296,0.8542,0.9277,0.7815,0.9299,4.477358e-05
17,0.000239,0.8333,0.9347,0.7941,0.9348,3.960442e-05
18,0.000183,0.8542,0.9383,0.7983,0.9379,3.454915e-05
19,0.000146,0.8542,0.9418,0.7983,0.9389,2.966317e-05
20,0.000154,0.8542,0.9400,0.7983,0.9393,2.500000e-05
21,0.000134,0.8542,0.9418,0.8235,0.9386,2.061074e-05
22,0.000131,0.8542,0.9436,0.8235,0.9386,1.654347e-05
