epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.602719,0.4375,0.7566,0.5000,0.5484,9.972609e-05
2,0.388499,0.4375,0.7690,0.5000,0.6083,9.890738e-05
3,0.270199,0.4375,0.7690,0.5000,0.6422,9.755283e-05
4,0.164179,0.4375,0.7531,0.5000,0.6405,9.567727e-05
5,0.056627,0.4375,0.7707,0.5042,0.6209,9.330127e-05
6,0.021921,0.4375,0.7813,0.5042,0.6199,9.045085e-05
7,0.004944,0.5208,0.7760,0.5966,0.6673,8.715724e-05
8,0.001220,0.6250,0.7778,0.6387,0.6466,8.345653e-05
9,0.000643,0.6667,0.7937,0.6176,0.6405,7.938926e-05
10,0.000455,0.7500,0.8219,0.6218,0.6455,7.500000e-05
11,0.000256,0.7500,0.8519,0.6092,0.6456,7.033683e-05
12,0.000309,0.7500,0.8730,0.6008,0.6500,6.545085e-05
13,0.000153,0.8125,0.8924,0.6008,0.6600,6.039558e-05
14,0.000213,0.7708,0.8959,0.6008,0.6808,5.522642e-05
15,0.000113,0.7917,0.8995,0.6092,0.7000,5.000000e-05
16,0.000165,0.8333,0.8995,0.6261,0.7107,4.477358e-05
17,0.000110,0.8125,0.9012,0.6345,0.7175,3.960442e-05
18,0.000090,0.8333,0.9030,0.6303,0.7203,3.454915e-05
19,0.000078,0.8333,0.9030,0.6345,0.7213,2.966317e-05
20,0.000084,0.8333,0.9083,0.6303,0.7223,2.500000e-05
21,0.000111,0.8333,0.9083,0.6261,0.7221,2.061074e-05
22,0.000078,0.8333,0.9101,0.6261,0.7231,1.654347e-05
23,0.000076,0.8333,0.9101,0.6261,0.7230,1.284276e-05
24,0.000186,0.8542,0.9083,0.6176,0.7235,9.549150e-06
25,0.000081,0.8542,0.9065,0.6176,0.7235,6.698730e-06
26,0.000062,0.8542,0.9065,0.6176,0.7225,4.322727e-06
27,0.000109,0.8542,0.9030,0.6176,0.7236,2.447174e-06
28,0.000093,0.8542,0.9065,0.6176,0.7236,1.092620e-06
29,0.000097,0.8542,0.9083,0.6176,0.7235,2.739052e-07
