epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.694287,0.5593,0.5012,0.5000,0.5104,9.972609e-05
2,0.533147,0.4746,0.4242,0.5113,0.5150,9.890738e-05
3,0.318080,0.4576,0.4219,0.5376,0.5258,9.755283e-05
4,0.149920,0.4407,0.4837,0.4962,0.5082,9.567727e-05
5,0.035627,0.4407,0.5373,0.4962,0.5001,9.330127e-05
6,0.008362,0.4407,0.6410,0.5000,0.5910,9.045085e-05
7,0.002040,0.4407,0.6865,0.5000,0.6436,8.715724e-05
8,0.000839,0.4407,0.7005,0.5038,0.7294,8.345653e-05
9,0.000493,0.4746,0.6981,0.5188,0.8041,7.938926e-05
10,0.000277,0.5593,0.7133,0.5789,0.8225,7.500000e-05
11,0.000277,0.6102,0.7331,0.6541,0.8316,7.033683e-05
12,0.000213,0.6780,0.7413,0.7556,0.8359,6.545085e-05
13,0.000158,0.7288,0.7517,0.7632,0.8352,6.039558e-05
14,0.000208,0.6949,0.7459,0.7481,0.8366,5.522642e-05
15,0.000167,0.6441,0.7483,0.7444,0.8355,5.000000e-05
16,0.000167,0.6441,0.7529,0.7406,0.8336,4.477358e-05
17,0.000110,0.6441,0.7506,0.7406,0.8332,3.960442e-05
18,0.000108,0.6441,0.7483,0.7368,0.8327,3.454915e-05
19,0.000201,0.6780,0.7471,0.7331,0.8330,2.966317e-05
20,0.000103,0.6610,0.7471,0.7481,0.8339,2.500000e-05
21,0.000099,0.6610,0.7459,0.7481,0.8345,2.061074e-05
22,0.000082,0.6610,0.7459,0.7481,0.8347,1.654347e-05
23,0.000095,0.6610,0.7459,0.7481,0.8348,1.284276e-05
