epoch,train_loss,val_acc,val_auc,test_acc,test_auc,lr
1,0.611631,0.5932,0.7890,0.4737,0.5148,9.972609e-05
2,0.267448,0.6949,0.7844,0.7293,0.7857,9.890738e-05
3,0.094286,0.5085,0.6783,0.5789,0.7589,9.755283e-05
4,0.027977,0.5763,0.7646,0.6316,0.8431,9.567727e-05
5,0.005561,0.5932,0.8275,0.7444,0.9188,9.330127e-05
6,0.002555,0.6780,0.9044,0.8233,0.9683,9.045085e-05
7,0.001058,0.7119,0.9650,0.8947,0.9900,8.715724e-05
8,0.000628,0.7966,0.9860,0.9586,0.9948,8.345653e-05
9,0.000378,0.9153,0.9977,0.9586,0.9965,7.938926e-05
10,0.000316,0.9661,0.9988,0.9323,0.9972,7.500000e-05
11,0.000427,0.9831,0.9988,0.9248,0.9987,7.033683e-05
12,0.000240,0.9831,0.9988,0.9361,0.9993,6.545085e-05
13,0.000273,0.9831,0.9977,0.9436,0.9995,6.039558e-05
14,0.000160,0.9831,0.9977,0.9662,0.9995,5.522642e-05
15,0.000170,0.9831,0.9988,0.9699,0.9994,5.000000e-05
16,0.000142,0.9831,0.9988,0.9662,0.9995,4.477358e-05
17,0.000199,0.9831,0.9988,0.9624,0.9995,3.960442e-05
18,0.000167,0.9831,0.9988,0.9624,0.9994,3.454915e-05
