cohort	mouse	modality	horizon	baseline_method	diffusion_method	baseline_auc	diffusion_auc	delta_auc	ci_low	ci_high	permutation_p	q_bh	significance	n_nonictal	n_ictal
RT	M238	EEG	h0	EEG classifier	EEG diffusion	0.7631861608909492	0.9059867714398779	0.14280061054892879	0.09361608909491777	0.19300130024308892	0.0001999600079984003	0.0023995200959808036	**	133	133
RT	M238	EEG	h1	EEG classifier	EEG diffusion	0.8520549494035842	0.8759681157781672	0.023913166374583072	-0.02193877551020408	0.07083498219232287	0.39532093581283745	0.5929814037192562	n.s.	133	133
RT	M238	EEG	h2	EEG classifier	EEG diffusion	0.8608174571767765	0.872745774209961	0.011928317033184532	-0.028379218723500466	0.053146022952117095	0.6618676264747051	0.8736652669466107	n.s.	133	133
RT	M238	EEG	h3	EEG classifier	EEG diffusion	0.5953982701113687	0.8320425122957771	0.23664424218440838	0.15715840352761598	0.3143860591327942	0.0001999600079984003	0.0023995200959808036	**	133	133
RT	M238	EEG	h4	EEG classifier	EEG diffusion	0.8605347956357058	0.85827350330714	-0.002261292328565756	-0.04884391429702073	0.041563966306744166	0.9402119576084783	0.9810907383740642	n.s.	133	133
RT	M238	EEG	h5	EEG classifier	EEG diffusion	0.8387133246650461	0.8087512013115495	-0.029962123353496573	-0.07824212787608113	0.018430945785516427	0.3547290541891622	0.5710857828434313	n.s.	133	133
RT	M238	Full-MM	h0	Full-MM classifier	Full-MM diffusion	0.7848945672451806	0.9033297529538131	0.11843518570863254	0.06771863870201823	0.17157838204533887	0.0007998400319936012	0.004799040191961607	**	133	133
RT	M238	Full-MM	h1	Full-MM classifier	Full-MM diffusion	0.8564079371360732	0.8624003618067726	0.005992424670699381	-0.03799253773531572	0.04957883430380461	0.8210357928414317	0.9383266203902076	n.s.	133	133
RT	M238	Full-MM	h2	Full-MM classifier	Full-MM diffusion	0.8156481429136752	0.88800949742778	0.07236135451410486	0.021878003278873792	0.1223952738990333	0.027194561087782444	0.10877824435112977	n.s.	133	133
RT	M238	Full-MM	h3	Full-MM classifier	Full-MM diffusion	0.8336254169257731	0.8765899711685228	0.0429645542427497	0.0035601221097856938	0.08417660693086104	0.11577684463107378	0.30873825234953006	n.s.	133	133
RT	M238	Full-MM	h4	Full-MM classifier	Full-MM diffusion	0.7677652778562949	0.8922494205438408	0.12448414268754593	0.06829102832268641	0.18226157499010678	0.0003999200159968006	0.003199360127974405	**	133	133
RT	M238	Full-MM	h5	Full-MM classifier	Full-MM diffusion	0.8443665554864606	0.8553338232800045	0.010967267793543956	-0.035676126406241196	0.06003731132342138	0.7280543891221756	0.8736652669466107	n.s.	133	133
TC	M710	EEG	h0	EEG classifier	EEG diffusion	0.7149212626226962	0.748181625591413	0.03326036296871682	-0.022528423133959485	0.08791928536120323	0.35692861427714456	0.5710857828434313	n.s.	119	119
TC	M710	EEG	h1	EEG classifier	EEG diffusion	0.7308805875291293	0.764211566979733	0.033330979450603704	-0.006851564155073883	0.07492761810606594	0.26554689062187564	0.4902404134557704	n.s.	119	119
TC	M710	EEG	h2	EEG classifier	EEG diffusion	0.7065179012781583	0.7583503989831226	0.05183249770496434	-0.01087670362262556	0.11461055010239385	0.23075384923015396	0.4615076984603079	n.s.	119	119
TC	M710	EEG	h3	EEG classifier	EEG diffusion	0.7545371089612316	0.754819574888779	0.00028246592754743727	-0.0450550808558718	0.04583186215662731	0.9962007598480304	0.9962007598480304	n.s.	119	119
TC	M710	EEG	h4	EEG classifier	EEG diffusion	0.7493821057834898	0.7678836240378505	0.018501518254360638	-0.017731798601793674	0.054800155356260184	0.5612877424515097	0.7924062246374255	n.s.	119	119
TC	M710	EEG	h5	EEG classifier	EEG diffusion	0.7350469599604548	0.7232540074853471	-0.011792952475107699	-0.05578702069062924	0.033119130004943154	0.7018596280743852	0.8736652669466107	n.s.	119	119
TC	M710	Full-MM	h0	Full-MM classifier	Full-MM diffusion	0.7263611326883694	0.7767813007555964	0.050420168067226934	-0.01299872890332596	0.11687027752277379	0.17056588682263546	0.3721437530675683	n.s.	119	119
TC	M710	Full-MM	h1	Full-MM classifier	Full-MM diffusion	0.7231480827625167	0.7294682578913918	0.006320175128875061	-0.046267918932278856	0.05868406186003809	0.8910217956408718	0.9720237770627693	n.s.	119	119
TC	M710	Full-MM	h2	Full-MM classifier	Full-MM diffusion	0.6839912435562461	0.7541840265517972	0.0701927829955511	0.012710966739637009	0.12527540427935874	0.05558888222355529	0.19059045333790386	n.s.	119	119
TC	M710	Full-MM	h3	Full-MM classifier	Full-MM diffusion	0.6202245604124003	0.7142857142857143	0.09406115387331404	0.019064684697408345	0.16778652637525596	0.13557288542291543	0.325374925014997	n.s.	119	119
TC	M710	Full-MM	h4	Full-MM classifier	Full-MM diffusion	0.5477014335145823	0.7424616905585764	0.19476025704399402	0.1264017371654545	0.2636819433655815	0.0011997600479904018	0.005758848230353929	**	119	119
TC	M710	Full-MM	h5	Full-MM classifier	Full-MM diffusion	0.5759480262693313	0.6938069345385213	0.11785890826918999	0.03699950568462671	0.19666866746698677	0.07498500299940011	0.22495500899820034	n.s.	119	119
