cohort	mouse	method	h0	h1	h2	h3	h4	h5	mean
RT	M238	Target classifier	0.9986997569110747	0.9986997569110747	0.9986997569110747	0.9986997569110747	0.9986997569110747	0.9986997569110747	0.9986997569110746
RT	M238	EEG classifier	0.7631861608909492	0.8520549494035842	0.8608174571767765	0.5953982701113686	0.8605347956357057	0.8387133246650461	0.7951174929805717
RT	M238	EEG diffusion	0.9059867714398779	0.8759681157781672	0.872745774209961	0.832042512295777	0.85827350330714	0.8087512013115495	0.8589613130570788
RT	M238	Full-MM classifier	0.7848945672451806	0.8564079371360732	0.815648142913675	0.8336254169257731	0.7677652778562948	0.8443665554864606	0.8171179829272428
RT	M238	Full-MM diffusion	0.9033297529538131	0.8624003618067726	0.88800949742778	0.8765899711685228	0.8922494205438408	0.8553338232800045	0.8796521378634555
TC	M710	Target classifier	0.9233811171527436	0.9233811171527436	0.9233811171527436	0.9233811171527436	0.9233811171527436	0.9233811171527436	0.9233811171527436
TC	M710	EEG classifier	0.7149212626226961	0.7308805875291292	0.7065179012781584	0.7545371089612316	0.7493821057834898	0.7350469599604547	0.7318809876891933
TC	M710	EEG diffusion	0.748181625591413	0.764211566979733	0.7583503989831226	0.754819574888779	0.7678836240378505	0.723254007485347	0.7527834663277075
TC	M710	Full-MM classifier	0.7263611326883695	0.7231480827625169	0.6839912435562461	0.6202245604124003	0.5477014335145823	0.5759480262693313	0.6462290798672411
TC	M710	Full-MM diffusion	0.7767813007555963	0.7294682578913919	0.7541840265517972	0.7142857142857142	0.7424616905585764	0.6938069345385213	0.7351646540969329
