cohort	mouse	method	horizon	auc_full_precision	auc_paper_3dp
RT	M238	Target classifier	h0	0.9986997569110747	0.999
RT	M238	Target classifier	h1	0.9986997569110747	0.999
RT	M238	Target classifier	h2	0.9986997569110747	0.999
RT	M238	Target classifier	h3	0.9986997569110747	0.999
RT	M238	Target classifier	h4	0.9986997569110747	0.999
RT	M238	Target classifier	h5	0.9986997569110747	0.999
RT	M238	EEG classifier	h0	0.7631861608909492	0.763
RT	M238	EEG classifier	h1	0.8520549494035842	0.852
RT	M238	EEG classifier	h2	0.8608174571767765	0.861
RT	M238	EEG classifier	h3	0.5953982701113686	0.595
RT	M238	EEG classifier	h4	0.8605347956357057	0.861
RT	M238	EEG classifier	h5	0.8387133246650461	0.839
RT	M238	EEG diffusion	h0	0.9059867714398779	0.906
RT	M238	EEG diffusion	h1	0.8759681157781672	0.876
RT	M238	EEG diffusion	h2	0.872745774209961	0.873
RT	M238	EEG diffusion	h3	0.832042512295777	0.832
RT	M238	EEG diffusion	h4	0.85827350330714	0.858
RT	M238	EEG diffusion	h5	0.8087512013115495	0.809
RT	M238	Full-MM classifier	h0	0.7848945672451806	0.785
RT	M238	Full-MM classifier	h1	0.8564079371360732	0.856
RT	M238	Full-MM classifier	h2	0.815648142913675	0.816
RT	M238	Full-MM classifier	h3	0.8336254169257731	0.834
RT	M238	Full-MM classifier	h4	0.7677652778562948	0.768
RT	M238	Full-MM classifier	h5	0.8443665554864606	0.844
RT	M238	Full-MM diffusion	h0	0.9033297529538131	0.903
RT	M238	Full-MM diffusion	h1	0.8624003618067726	0.862
RT	M238	Full-MM diffusion	h2	0.88800949742778	0.888
RT	M238	Full-MM diffusion	h3	0.8765899711685228	0.877
RT	M238	Full-MM diffusion	h4	0.8922494205438408	0.892
RT	M238	Full-MM diffusion	h5	0.8553338232800045	0.855
TC	M710	Target classifier	h0	0.9233811171527436	0.923
TC	M710	Target classifier	h1	0.9233811171527436	0.923
TC	M710	Target classifier	h2	0.9233811171527436	0.923
TC	M710	Target classifier	h3	0.9233811171527436	0.923
TC	M710	Target classifier	h4	0.9233811171527436	0.923
TC	M710	Target classifier	h5	0.9233811171527436	0.923
TC	M710	EEG classifier	h0	0.7149212626226961	0.715
TC	M710	EEG classifier	h1	0.7308805875291292	0.731
TC	M710	EEG classifier	h2	0.7065179012781584	0.707
TC	M710	EEG classifier	h3	0.7545371089612316	0.755
TC	M710	EEG classifier	h4	0.7493821057834898	0.749
TC	M710	EEG classifier	h5	0.7350469599604547	0.735
TC	M710	EEG diffusion	h0	0.748181625591413	0.748
TC	M710	EEG diffusion	h1	0.764211566979733	0.764
TC	M710	EEG diffusion	h2	0.7583503989831226	0.758
TC	M710	EEG diffusion	h3	0.754819574888779	0.755
TC	M710	EEG diffusion	h4	0.7678836240378505	0.768
TC	M710	EEG diffusion	h5	0.723254007485347	0.723
TC	M710	Full-MM classifier	h0	0.7263611326883695	0.726
TC	M710	Full-MM classifier	h1	0.7231480827625169	0.723
TC	M710	Full-MM classifier	h2	0.6839912435562461	0.684
TC	M710	Full-MM classifier	h3	0.6202245604124003	0.62
TC	M710	Full-MM classifier	h4	0.5477014335145823	0.548
TC	M710	Full-MM classifier	h5	0.5759480262693313	0.576
TC	M710	Full-MM diffusion	h0	0.7767813007555963	0.777
TC	M710	Full-MM diffusion	h1	0.7294682578913919	0.729
TC	M710	Full-MM diffusion	h2	0.7541840265517972	0.754
TC	M710	Full-MM diffusion	h3	0.7142857142857142	0.714
TC	M710	Full-MM diffusion	h4	0.7424616905585764	0.742
TC	M710	Full-MM diffusion	h5	0.6938069345385213	0.694
